Timestamp,Username,IP Address,Service Name,Operation,Resource,Allowed,Impersonator,Family,Qualifier,Delegation Token ID,Destination,Permissions,Source,Usage Type,Operation Text,url,Privilege,Query ID,Session ID,Status,Database Name,Object Type,Resource Path,Table Name
2019-11-21T23:29:29.000Z,imedrano,10.67.59.12,impala,QUERY,bddlcru:ktctget,true,,,,,,,,,"SELECT      trim(CDTABLA) as CDTABLA,     TRIM(CDELEMEN) AS CDELEMEN,     trim(DSELEMEN) as DSELEMEN     FROM  BDDLCRU.KTCTGET WHERE trim(CDTABLA) = 'KTOTVMG'  AND CDIDIOMA ='ES'",,SELECT,a54d9f982bc672c5:25abe65900000000,7840fd85a1f896d7:5bf5c2dc6413e7ae,,bddlcru,TABLE,,ktctget
2019-11-21T23:25:55.000Z,imedrano,10.67.59.12,impala,QUERY,bddlcru:ktctget,true,,,,,,,,,"select a.* from ( SELECT      trim(CDTABLA) as CDTABLA,     TRIM(CDELEMEN) AS CDELEMEN,     trim(DSELEMEN) as DSELEMEN     FROM  BDDLCRU.KTCTGET WHERE TRIM(CDELEMEN) = '0004'  AND CDIDIOMA ='ES' ) a inner join ( SELECT      trim(CDTABLA) as CDTABLA,     TRIM(CDELEMEN) AS CDELEMEN,     trim(DSELEMEN) as DSELEMEN     FROM  BDDLCRU.KTCTGET WHERE TRIM(CDELEMEN) = '0034'  AND CDIDIOMA ='ES' ) b on (a.CDTABLA = b.CDTABLA) inner join ( SELECT      trim(CDTABLA) as CDTABLA,     TRIM(CDELEMEN) AS CDELEMEN,     trim(DSELEMEN) as DSELEMEN     FROM  BDDLCRU.KTCTGET WHERE TRIM(CDELEMEN) = '0020'  AND CDIDIOMA ='ES' ) c on (a.CDTABLA = c.CDTABLA) inner join ( SELECT      trim(CDTABLA) as CDTABLA,     TRIM(CDELEMEN) AS CDELEMEN,     trim(DSELEMEN) as DSELEMEN     FROM  BDDLCRU.KTCTGET WHERE TRIM(CDELEMEN) = '0002'  AND CDIDIOMA ='ES' ) d on (a.CDTABLA = d.CDTABLA)",,SELECT,4a31d6382aa2e9:2bdd284100000000,7840fd85a1f896d7:5bf5c2dc6413e7ae,,bddlcru,TABLE,,ktctget
2019-11-21T23:24:45.026Z,aarenas,10.67.59.13,hive,QUERY,:,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 and cve_sistema='RCLA'
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,,DFS_DIR,/tmp/hive/aarenas/2d4694e1-e4ed-44d8-8bfd-f0846e884b3c/hive_2019-11-21_17-24-45_081_8223190153132502156-28456/-mr-10000,
2019-11-21T23:24:45.026Z,aarenas,10.67.59.13,hive,QUERY,bddlalm:alm_solicitud_pago,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 and cve_sistema='RCLA'
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,bddlalm,TABLE,/user/hive/warehouse/bddlalm.db/alm_solicitud_pago,alm_solicitud_pago
2019-11-21T23:24:45.026Z,aarenas,10.67.59.13,hive,QUERY,bddlapr:cnm_solicitud_pago,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 and cve_sistema='RCLA'
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,bddlapr,VIEW,,cnm_solicitud_pago
2019-11-21T23:23:41.434Z,aarenas,10.67.59.13,hive,QUERY,:,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,,DFS_DIR,/tmp/hive/aarenas/2d4694e1-e4ed-44d8-8bfd-f0846e884b3c/hive_2019-11-21_17-23-41_470_73015514011178815-28456/-mr-10000,
2019-11-21T23:23:41.434Z,aarenas,10.67.59.13,hive,QUERY,bddlalm:alm_solicitud_pago,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,bddlalm,TABLE,/user/hive/warehouse/bddlalm.db/alm_solicitud_pago,alm_solicitud_pago
2019-11-21T23:23:41.434Z,aarenas,10.67.59.13,hive,QUERY,bddlapr:cnm_solicitud_pago,true,,,,,,,,,"SELECT
CVE_SISTEMA, anio_mes_contable,
sum(MTO_IMPORTE_SINIESTRAL) AS MTO_IMPORTE_SINIESTRAL
FROM BDDLAPR.CNM_SOLICITUD_PAGO
where ban_contable=1 
group by CVE_SISTEMA,anio_mes_contable
order by CVE_SISTEMA,anio_mes_contable",,,,,,bddlapr,VIEW,,cnm_solicitud_pago
2019-11-21T23:22:21.000Z,rachanca,10.67.59.12,impala,QUERY,null:null,true,,,,,,,,,GET_TABLES,,,8b417efeef595213:feaac94900000000,b24090c1df8a034e:3c0c7f109e8503a7,,,,,
2019-11-21T23:20:50.708Z,rachanca,10.67.59.12,hive,QUERY,:,true,,,,,,,,,"select num_poliza,vigencia_poliza,num_poliza_cobranza,num_version_poliza,cve_cliente_origen,
fch_antiguedad_nac,fch_antiguedad_int 
from bddlapr.cnm_asegurado_datos_adicionales
where to_date(fch_antiguedad)>='2008-01-01'",,,,,,,DFS_DIR,/tmp/hive/rachanca/9b65138a-5d5b-4742-a340-c00a32606ef0/hive_2019-11-21_17-20-50_718_2621440855624275804-2492/-mr-10000,
