Timestamp,Username,"IP Address","Service Name",Operation,Resource,Allowed,Impersonator,Family,Qualifier,"Delegation Token ID",Destination,Permissions,Source,"Usage Type","Operation Text",url,Privilege,"Query ID","Session ID",Status,"Database Name","Object Type","Resource Path","Table Name"
"2019-11-27T23:32:55.000Z",user_crm,10.67.59.12,impala,QUERY,"bddlalm:con_trans_contable_tot",true,,,,,,,,,"select  to_date(ts_ini_transf_con), to_date(now() - interval 1 day)  from BDDLALM.CON_TRANS_CONTABLE_TOT where to_date(ts_ini_transf_con) between to_date(current_timestamp() - interval 1 day) and to_date(current_timestamp() - interval 1 day) limit 10",,SELECT,"7549c907f392dd7d:f257f67700000000","5c48249cf4153767:8fd0ed95fcefab93",,bddlalm,TABLE,,"con_trans_contable_tot"
"2019-11-27T23:32:49.734Z",iballeza,10.67.59.12,hive,QUERY,"bddlapr:cnm_solicitud_pago",true,,,,,,,,,"SELECT * FROM bddlapr.cnm_solicitud_pago
WHERE num_reclamacion = '2018HI000700202'",,,,,,bddlapr,VIEW,,cnm_solicitud_pago
"2019-11-27T23:32:49.734Z",iballeza,10.67.59.12,hive,QUERY,"bddlalm:alm_solicitud_pago",true,,,,,,,,,"SELECT * FROM bddlapr.cnm_solicitud_pago
WHERE num_reclamacion = '2018HI000700202'",,,,,,bddlalm,TABLE,"/user/hive/warehouse/bddlalm.db/alm_solicitud_pago",alm_solicitud_pago
"2019-11-27T23:32:49.734Z",iballeza,10.67.59.12,hive,QUERY,:,true,,,,,,,,,"SELECT * FROM bddlapr.cnm_solicitud_pago
WHERE num_reclamacion = '2018HI000700202'",,,,,,,DFS_DIR,"/tmp/hive/iballeza/0dde84ce-1d55-4878-a244-cbb87f4a2d0e/hive_2019-11-27_17-32-49_745_5919383575902386436-265263/-mr-10000",
"2019-11-27T23:32:26.811Z",gmmcontra,10.67.59.14,hive,QUERY,"bddlorg:kton41t_201602",true,,,,,,,,,"insert into bddlorg.kton41t_cdc select * from bddlorg.kton41t_201602",,,,,,bddlorg,TABLE,"/user/hive/warehouse/bddlorg.db/kton41t_201602",kton41t_201602
"2019-11-27T23:32:26.811Z",gmmcontra,10.67.59.14,hive,QUERY,bddlorg:kton41t_cdc,true,,,,,,,,,"insert into bddlorg.kton41t_cdc select * from bddlorg.kton41t_201602",,,,,,bddlorg,TABLE,"/user/hive/warehouse/bddlorg.db/kton41t_cdc",kton41t_cdc
"2019-11-27T23:32:05.000Z",user_crm,10.67.59.12,impala,QUERY,"bddlalm:con_trans_contable_tot",true,,,,,,,,,"select  to_date(ts_ini_transf_con), to_date(now() - interval 1 day)  from BDDLALM.CON_TRANS_CONTABLE_TOT --where to_date(ts_ini_transf_con) between to_date(current_timestamp()) and to_date(current_timestamp()) limit 10",,SELECT,"9342730f653ce138:47fc219300000000","5c48249cf4153767:8fd0ed95fcefab93",,bddlalm,TABLE,,"con_trans_contable_tot"
"2019-11-27T23:31:45.506Z",gmmcontra,10.67.59.14,hive,QUERY,"bddlorg:kton41t_201601",true,,,,,,,,,"insert into bddlorg.kton41t_cdc select * from bddlorg.kton41t_201601",,,,,,bddlorg,TABLE,"/user/hive/warehouse/bddlorg.db/kton41t_201601",kton41t_201601
"2019-11-27T23:31:45.506Z",gmmcontra,10.67.59.14,hive,QUERY,bddlorg:kton41t_cdc,true,,,,,,,,,"insert into bddlorg.kton41t_cdc select * from bddlorg.kton41t_201601",,,,,,bddlorg,TABLE,"/user/hive/warehouse/bddlorg.db/kton41t_cdc",kton41t_cdc
"2019-11-27T23:31:41.000Z",user_crm,10.67.59.12,impala,QUERY,"bddlalm:con_trans_contable_tot",true,,,,,,,,,"select  to_date(ts_ini_transf_con), to_date(now())  from BDDLALM.CON_TRANS_CONTABLE_TOT --where to_date(ts_ini_transf_con) between to_date(current_timestamp()) and to_date(current_timestamp()) limit 10",,SELECT,"67452bb1c094e336:80fc1b3a00000000","5c48249cf4153767:8fd0ed95fcefab93",,bddlalm,TABLE,,"con_trans_contable_tot"
