Timestamp,Username,IP Address,Service Name,Operation,Resource,Operation Text,url,Privilege,Query ID,Session ID,Status
2019-11-21T19:23:20.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT codigo_giro_negocio, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,eb497b870068b9e2:9f16b0bf00000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:22:43.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT gcta, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,704d4837450f3172:9ef2303000000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:22:27.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT tipo_vta, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,f44bb24a483db309:eafb05eb00000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:22:04.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT ban_multianual, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,c2410470127e47dc:6dcd779400000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:19:29.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT cve_negocio_operable, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,cc4337fb0b6474d0:33c35e1400000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:18:05.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT uso_vehiculo,descr_uso_vehiculo, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1, 2 ORDER BY 1, 2",,SELECT,a745ca5f64921158:b172627400000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:14:58.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT estado_de_circulacion, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,d4de5129ce8d404:e94ffc7800000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:10:33.000Z,iballeza,10.67.59.12,impala,QUERY,null:null,GET_TABLES,,,2444192553d8ea02:9d4b4f6f00000000,7f4d623b907573b0:d9fee14e05b2e9c,
2019-11-21T19:08:24.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT tipo_plan, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,4545f135359d65e0:5008b7bc00000000,db438cc549b6ae71:64ca6b0a1a4529b6,
2019-11-21T19:07:36.000Z,ilicealo,10.67.59.12,impala,QUERY,bddldes:crm_01_tablero_perfil,"SELECT carroceria, COUNT(poliza) FROM crm_01_tablero_perfil GROUP BY 1 ORDER BY 1",,SELECT,f84a150b1b32fd14:dc94566900000000,db438cc549b6ae71:64ca6b0a1a4529b6,
