Timestamp,Username,"IP Address","Service Name",Operation,Resource,Allowed,Impersonator,Family,Qualifier,"Delegation Token ID",Destination,Permissions,Source,"Usage Type","Operation Text",url,Privilege,"Query ID","Session ID",Status,"Database Name","Object Type","Resource Path","Table Name"
"2019-12-04T01:58:46.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:bff_bddlint_lmp_nrltdog0_limpia",true,,,,,,,,,"select count(*) from  bddlint.bff_bddlint_lmp_nrltdog0_limpia",,SELECT,"ef4a97674952be01:dc0c97d200000000","9f49ccb7cc3bd9b0:5c39aa40a970c786",,bddlint,TABLE,,"bff_bddlint_lmp_nrltdog0_limpia"
"2019-12-04T01:55:38.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:lmp_nrltgtb0his",true,,,,,,,,,"select count(*) from  bddlint.lmp_nrltgtb0his",,SELECT,"f64278b0f0cc1661:a970406f00000000","654bbf4df67aa931:5ced02f9c5c77d90",,bddlint,TABLE,,lmp_nrltgtb0his
"2019-12-04T01:54:27.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:bff_bddlint_lmp_nrltgtb0his_limpia",true,,,,,,,,,"select count(*) from  bddlint.bff_bddlint_lmp_nrltgtb0his_limpia",,SELECT,"4248bba206632b36:c7426eb00000000","1e4e97ada571af09:95e1ff430a2b8d9c",,bddlint,TABLE,,"bff_bddlint_lmp_nrltgtb0his_limpia"
"2019-12-04T01:52:45.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:lmp_nrltusu0his",true,,,,,,,,,"select count(*) from  bddlint.lmp_nrltusu0his",,SELECT,"bc4215f8dba0934a:4a75a84a00000000","764900cd81fb4ce0:13e8e8155217bbb3",,bddlint,TABLE,,lmp_nrltusu0his
"2019-12-04T01:51:48.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:bff_bddlint_lmp_nrltusu0his_limpia",true,,,,,,,,,"select count(*) from  bddlint.bff_bddlint_lmp_nrltusu0his_limpia",,SELECT,"7d49181349efa913:ac4acc7a00000000","164101e9864ba912:72e1f31e2b38539d",,bddlint,TABLE,,"bff_bddlint_lmp_nrltusu0his_limpia"
"2019-12-04T01:50:16.000Z",usrsup,10.67.59.12,impala,QUERY,null:null,true,,,,,,,,,GET_TABLES,,,"fa4a9d2fa0575dcd:56d44f6f00000000","50468c2b7140f5aa:74e655f021b11586",,,,,
"2019-12-04T01:50:07.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:lmp_nrltrcl0his",true,,,,,,,,,"select count(*) from  bddlint.lmp_nrltrcl0his",,SELECT,"d94e0b5439441395:463f28a400000000","81474040f3651eed:c160455c11efe09b",,bddlint,TABLE,,lmp_nrltrcl0his
"2019-12-04T01:49:07.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:bff_bddlint_lmp_nrltrcl0his_limpia",true,,,,,,,,,"select count(*) from  bddlint.bff_bddlint_lmp_nrltrcl0his_limpia",,SELECT,"2245e236a46992be:c827cfc900000000","8a4c33f8364ba493:d3372cbb84f18086",,bddlint,TABLE,,"bff_bddlint_lmp_nrltrcl0his_limpia"
"2019-12-04T01:47:21.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:lmp_nrltddc0his",true,,,,,,,,,"select count(*) from  bddlint.lmp_nrltddc0his",,SELECT,"6146aaf5b4289f17:89bc4fbc00000000","5345f771cd11cf2e:b8b5544aeaf77f91",,bddlint,TABLE,,lmp_nrltddc0his
"2019-12-04T01:46:30.000Z",gmmcontra,10.67.59.12,impala,QUERY,"bddlint:bff_bddlint_lmp_nrltddc0his_limpia",true,,,,,,,,,"select count(*) from  bddlint.bff_bddlint_lmp_nrltddc0his_limpia",,SELECT,"484fa6bc3354721e:8ae1890e00000000","cb4b6e81a13d51f5:15b09fe4fa9802a3",,bddlint,TABLE,,"bff_bddlint_lmp_nrltddc0his_limpia"
